ID,Name,Description,Faction,Media_URL
1,Human,"The human kingdom of Stormwind forms the backbone of the Alliance. Stormwind's willingness to work with others to find diplomatic solutions stands out as one of its true strengths. Its citizens hold fast to the principles of honor and justice as they defend their settlements, and the Alliance, against any aggressors.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blte097d3ac18c5b8ed/6165ec51ff59d903990f26e3/EE3E9KVL9ROW1613677289232.png
11,Draenei,"Fleeing the ruined world of Outland—the shattered remains of the planet once known as Draenor—the mysterious draenei crash-landed on Azeroth, where they pledged their loyalty to the Alliance and vowed to destroy their bitter enemy—the demonic Burning Legion. In the wake of the Legion’s defeat, the draenei now seek a new destiny in the blessed Light.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltaa05ccbc03665b8a/6165d8d942066603940a694c/45IZ8X7GQBN61613677287660.png
4,Night Elf,"The ancient and reclusive Night elves—also known as kaldorei—have played a pivotal role in shaping Azeroth’s fate. Fighting for the Alliance, many Night elves today still remember events of the War of the Ancients over ten thousand years ago, when they halted the Burning Legion’s first invasion of Azeroth. These ferocious elves will fight tooth and nail to ensure their sacred lands are never again tainted by evil.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltdd9c3bc7630ea097/6165ee1b85a779070bc77f55/A62H0NRB056O1613677289519.png
3,Dwarf,"The bold and courageous dwarves are an ancient race descended from the earthen—titan-forged beings of living stone created when the world was young. Hailing from the mighty city of Ironforge in the snowy peaks of Khaz Modan, dwarves are courageous defenders of the Alliance.
",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltad40c8b16ba5146c/6165db02ff59d903990f26dd/3BSJB91SIUBO1613677288515.png
25,Pandaren,"Couched in myth and legend, the enigmatic pandaren have long been a mystery to the other races of Azeroth. Pandaren who follow the Path of the Tushui believe that there is a moral certainty to the world: one correct path of right and wrong. This philosophy strongly aligns with the ideals the Alliance represents, and as such the Tushui have pledged their loyalty accordingly.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltae668670e264a011/616daa1b4d5a4b1063b3743f/races_card_art_pandaren_alliance.png
7,Gnome,"The clever, spunky, and oftentimes eccentric gnomes present a unique paradox among the civilized races of Azeroth. Their remarkable optimism in the face of calamity symbolizes the truly unshakable spirit of the gnomes, and their boundless creativity and ingenuity is rivaled only by their commitment to the Alliance’s cause.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt5440cbe6b11972e4/6165e787c7341a058edee6c1/ZGHFCTYH33H41613677288710.png
32,Kul Tiran,"Kul Tiras was founded by fearless explorers who sailed uncharted waters in search of adventure. As a key member of the Alliance of Lordaeron, the Kul Tiran navy dominated the seas of Azeroth with its legendary fleet. But after years of turmoil and hardship, the kingdom grew isolated and vulnerable to dark influences. Thanks to the help of brave heroes, House Proudmoore has been restored and Kul Tiras is poised to fight alongside the valiant Alliance once more.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blta145dfe5b0e77cf7/6165ecb00e274669d2eec004/VRV4QPLLVYV91549479456219.png
30,Lightforged Draenei,"For untold millennia, the Army of the Light waged war against the Burning Legion throughout the Twisting Nether. The draenei most committed to their long crusade would undergo a ritual to become Lightforged, infusing their bodies with the very essence of the Holy Light. After finally achieving victory on Argus, the Lightforged draenei have undertaken a new mission: protecting Azeroth from rising threats and helping the Alliance push back against Horde aggression.
",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt5f7811c7667ec50e/6165ed119f3ef74e02a20bfb/TJ9TU2EJGMQD1533927441444.png
22,Worgen,"Behind the formidable Greymane Wall, a terrible curse transformed many of the stalwart citizens of the isolated kingdom of Gilneas into lupine beasts known as worgen. Unable to cure their affliction and besieged by the dreaded Forsaken, these worgen learned to control their ferocity thanks to the help of the night elves. The worgen now stand ready to unleash the beast within at a moment’s notice in defense of the Alliance.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltb5ef3dd6028a3ed3/6165f0f78da28366acf10a8a/86JM0JQ05EZ21613677292143.png
34,Dark Iron Dwarf,"Known for their fiery tempers and fierce determination, Dark Iron dwarves have a turbulent history with the other clans. A failed coup in Ironforge ignited the War of the Three Hammers, and many of the Dark Iron once fought in the service of Ragnaros the Firelord. Though one faction of the dwarves is pledged to Queen-Regent Moira Thaurissan, others refuse to stand alongside their kin. The Alliance seeks a united Dark Iron clan to harness the power of Azerite and aid their struggle against the Horde.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt800d90d1ff94cf78/6165d85d19046c4b997492e4/7W9RAE19S4SZ1533927440513.png
